ID,NAME,AREA
1,35th/Halsted,22895283.44
2,41st/King,325725.9598
4,49th/St Lawrence,792189.0641
5,60th/Western with Amendment,6228560.515
6,72nd/Cicero,3560847.249
7,73rd/Kedzie,4512870.398
8,95th/Stony Island,4209200.94
9,95th/Western,2616600.258
10,126th/Torrence,13167046.24
11,Addison Corridor North,3665729.213
13,Bryn Mawr/Broadway,1526324.433
17,Division/Hooker,288351.22
18,Division/North Branch,221305.2164
19,Eastman/North Branch,463427.569
21,Englewood Mall,1472921.45
23,Goose Island,4087154.747
24,Homan Arthington,3645912.312
25,Homan/Grand Trunk,696385.4584
26,Howard/Paulina,1326950.718
27,Irving/Cicero,1040055.008
28,Lincoln/Belmont/Ashland,314064.8613
29,Michigan/Cermak,1287524.523
30,Near North,14856256.82
31,Near South,16306900.59
32,Near West,4463863.326
33,North Branch North,6985971.838
34,North Branch South,12926056.2
35,North/Cicero,2037117.983
36,Read/Dunning,10194317.48
37,River South,11468840.59
38,Roosevelt-Cicero Ind. Corridor,24319261.2
39,Roosevelt/Canal,1836529.777
40,Roosevelt/Homan,2409071.438
42,Sanitary and Ship Canal,10942081.59
43,Stockyards Annex,12988992.11
44,Stockyards Industrial Corridor,11299463.13
45,Stockyards Southeast Quadrant,9902736.115
46,West Grand,129935.9549
48,Western/Ogden Ind. Corridor,32866241.76
49,89th/State,1645880.225
50,West Pullman,9050410.633
52,Kinzie Industrial Corridor,47203993.85
53,Pilsen Industrial Corridor,57906450.63
54,Stony Island/Burnside,26720795.39
55,43rd/Cottage Grove,10125683.09
56,79th Street Corridor,9605385.908
57,Jefferson Park,3644016.114
58,Portage Park,8728547.631
59,Calumet/Cermak Rd,528199.1129
60,71st/Stony Island,21415408.22
61,Bronzeville,22326122.29
62,Roosevelt/Racine(ABLA),9409698.518
63,Canal St/Congress Expy,3016270.381
64,Northwest Industrial Corridor,51402231.03
65,Woodlawn,14532134.35
66,Greater Southwest Ind. Corridor,14165332.93
67,Archer Courts,336945.1531
68,Roosevelt/Union (UIC),2565860.185
69,Pulaski Industrial Corridor,16656452.35
70,Clark/Montrose,2389765.486
71,Galewood/Armitage,20313013.2
72,24th/Michigan,5313790.268
73,111th/Kedzie,3487491.794
74,Clark/Ridge,5996112.824
75,Madison/Austin,17210864.96
76,Devon/Western,7827858.118
77,Lincoln Ave.,7596573.512
78,South Works Industrial,10040215.24
79,35th/Wallace,4855661.454
81,Belmont/Central,8275348.342
82,Belmont/Cicero,4322223.303
83,West Irving Park,6101407.458
84,Western Avenue North,9917449.225
85,Western Avenue South,11598164.37
86,Central West,23466748.59
87,Fullerton/Milwaukee,11083887.99
88,Lawrence/Kedzie,17837683.05
89,Midway Industrial Corridor,16700279.25
90,Peterson/Cicero,207941.2563
91,Peterson/Pulaski,6082745.762
92,Greater Southwest Ind. (West),30138929.35
93,South Chicago,16102601.53
94,Chicago/Kingsbury,2190661.223
95,Midwest,84849414.62
96,Cicero/Archer,4033797.39
97,51st/Archer,11735586.04
98,63rd/Pulaski,9238352.964
99,Archer/Central,8010398.459
100,Ohio/Wabash,158963.861
101,Jefferson/Roosevelt,6650887.67
102,Montclare,494450.6951
103,Lake Calumet Ind. Cord.,317602463.6
104,River West,5347498.445
105,53rd Street,3663455.876
106,Englewood Neighborhood,44248901.15
107,Division/Homan,15770043.55
108,Humboldt Park,6131684.453
109,Lawrence/Broadway,3143542.095
110,Wilson Yard,6094690.3
111,105th/Vincennes,2302398.258
112,79th/Southwest Hwy.,13296558.16
113,Roseland/Michigan,8558128.882
114,119th/Halsted,8221078.561
115,Chicago/Central Park,29602372.96
116,Lawrence/Pulaski,4566065.45
117,47th/Ashland,14394701.88
118,47th/King,25106178.97
119,Lakefront,1234864.485
120,45th & Western,1197074.229
121,47th/Halsted,41067506.91
122,Drexel Boulevard,600718.7635
123,Avalon Park/South Shore,4595105.59
124,67th/Cicero,936430.5501
125,119th & I-57 Redevelopment,13636213.7
126,Madden/Wells,4058093.998
127,87th/Cottage,10211099.3
128,Commercial Avenue,17334992.74
129,Diversey/Narragansett,6283464.161
130,Edgewater/Ashland,374517.5174
131,35th/State,3931222.213
132,40th/State,806553.3685
133,83rd/Stewart,4479539.387
134,Devon/Sheridan,3003842.491
135,Pratt/Ridge,1909635.264
136,47th/State,14329899.37
137,Lakeside/Clarendon,166942.5254
138,69th and Ashland,793260.1693
139,Ravenswood Corridor,3345135.148
140,79th/Cicero,892107.836
141,26th/King,1318555.342
142,Western Avenue/Rock Island,26015740.63
143,63rd/Ashland,20110018.26
144,Harrison/Central,16565761.87
145,73rd & University,5756238.648
146,Touhy and Western,10968308.3
147,LaSalle Central,6058824.512
148,Harlem Industrial Park Conservation Area,6642050.568
149,Stevenson/Brighton,71482437.28
150,Addison South,7162918.446
151,Armitage and Pulaski,1333254.044
152,Little Village,28577145.41
153,Elston/Armstrong Ind. Corridor,5591542.4
154,Pershing/King,1124431.444
155,79th/Vincennes,12231605.87
156,Austin Commercial,11126346.58
157,Hollywood/Sheridan,4956961.693
158,Weed/Fremont,116311.3989
159,134th Street and Avenue K,7761564.666
160,Kennedy/Kimball,6633499.172
161,Ogden/Pulaski,38227397.74
162,Kostner Ave,2258021.713
163,Archer/Western,18079261.55
164,Little Village East,7181821.097
165,Irving Park/Elston,3042786.488
166,North Pullman,24039864.49
167,Avondale,2156557.326
168,Calumet River,23470591.81
169,Ewing Avenue,22199202
170,Chicago Lakeside Development (USX),2986744.165
171,West Woodlawn,15691486.53
172,Randolph/Wells,379957.2448
173,Montrose/Clarendon,1348334.403
174,67th/Wentworth,41401137.63
