WARD,ALDERMAN,AREA
1,JOE MORENO,74072854.84
2,ROBERT FIORETTI,170864956
3,PAT DOWELL,123894705.6
4,WILLIAM BURNS,96939780.86
5,LESLIE HAIRSTON,112723358.9
6,RODERICK SAWYER,132563168.4
7,SANDI JACKSON,114266939.1
8,MICHELLE HARRIS,154640477.7
9,ANTHONY BEALE,224395075.1
10,JOHN POPE,550535374.4
11,JAMES A. BALCER,154252515.7
12,GEORGE A. CARDENAS,111710130.1
13,MARTY QUINN,147062013.2
14,EDWARD M. BURKE,139217561.4
15,TONI FOULKES,79085971.59
16,JOANN THOMPSON,92102230.18
17,LATASHA R. THOMAS,102315202
18,LONA LANE,176640578.6
19,MATTHEW OSHEA,217622838.2
20,WILLIE COCHRAN,111200062.8
21,"HOWARD B BROOKINS, JR.",150503027.6
22,RICARDO MUNOZ,84286652.66
23,MICHAEL R. ZALEWSKI,184142932.3
24,MICHAEL CHANDLER,109728670.8
25,DANIEL S. SOLIS,109177969.1
26,ROBERTO MALDONADO,69009372.98
27,"WALTER BURNETT, JR.",124552223.9
28,JASON ERVIN,118132019.4
29,DEBORAH GRAHAM,96874453.75
30,ARIEL E. REBOYRAS,66353941.07
31,RAY SUAREZ,79982878.74
32,SCOTT WAGUESPACK,110545782.7
33,RICHARD F. MELL,62788695.08
34,CARRIE M AUSTIN,158159645.9
35,REY COLON,62726681.3
36,NICHOLAS SPOSATO,184770930
37,EMMA MITTS,85263296.93
38,TIMOTHY CULLERTON,121086834.7
39,MARGARET LAURINO,125997498.9
40,PATRICK J. OCONNOR,87926764.74
41,MARY OCONNOR,501647451
42,BRENDAN REILLY,73944101.62
43,MICHELLE SMITH,66125357.45
44,THOMAS M. TUNNEY,49875744.04
45,JOHN ARENA,146549227.9
46,JAMES CAPPLEMAN,56233574.16
47,AMEYA PAWAR,89880955.95
48,HARRY OSTERMAN,43602740.79
49,JOSEPH A. MOORE,46828493.67
50,DEBRA SILVERSTEIN,85511038.9
